"",validDate,stoxxId,freeFloat
26496,20240923,NZ40B1,0.1552
13698,20240624,CN1N0N,0.4784
28465,20240923,CN8ZAG,0.4672
13140,20240624,FR369O,0.9375
16004,20240624,KR22WB,0.8775
4825,20240624,601692,0.5983
12672,20240624,TR215S,0.4
21475,20240923,CN931C,0.7019
15564,20240923,680546,1.0
24639,20240923,JP30X8,0.778
13297,20240624,SE14NY,0.3885
2371,20240624,ET027,0.3
2869,20240624,CA60A2,1.0
9965,20240624,CN56EO,0.7692
30618,20240923,CN8VEG,0.4129
32391,20240923,CN7ETD,0.375
27798,20240923,AU412B,0.883
5939,20240624,CN1XPM,0.4514
2856,20240624,CN0PZN,0.6752
1472,20240923,SFC,1.0
10490,20240624,CN61OU,0.5594
32409,20240923,CN78DR,0.6441
9123,20240923,478165,0.9163
32882,20240923,GB1EOU,1.0
24323,20240923,KR07HZ,0.5839
9336,20240624,689402,0.5859
12837,20240923,US02RF,0.7774
21855,20240923,CN2ME1,0.7317
5110,20240923,NG4018,0.4127
7862,20240624,CN5239,0.3837
18469,20240624,FR40KU,0.8882
19156,20240624,CH9046,0.75
19440,20240624,CNEQGJ,0.6463
25354,20240923,AU328H,0.3833
5238,20240624,US08TN,0.8194
6357,20240624,533518,0.5022
22489,20240923,US3QHW,0.9125
943,20240624,KR15UB,0.4142
21499,20240923,CN8V02,0.5096
2308,20240624,T.FFH,1.0
6239,20240624,SA274F,0.3419
31649,20240923,CNF8H3,0.2875
2488,20240923,NZ10D0,0.5251
7393,20240923,SE403D,0.7079
31580,20240923,US95EE,0.7358
15834,20240624,US3W3O,0.8932
4500,20240624,IN304C,0.6706
17466,20240624,CN95T1,0.6542
699,20240624,IN408H,0.5391
13932,20240923,IN81DR,0.341
14540,20240624,CN18LT,0.2771
18490,20240923,CN7WBD,0.3792
24132,20240923,TW20H8,1.0
3697,20240923,TW14IC,0.8892
19574,20240923,CN2F4K,0.5419
914,20240624,MHC,1.0
6738,20240923,HCN,0.946
10415,20240923,US9CDK,0.8456
2803,20240624,PH222,1.0
19087,20240624,JP43VA,0.3645
15383,20240923,ZA20T4,0.7123
20807,20240923,CN8B1J,0.6195
10357,20240624,US16A3,0.9061
15280,20240923,US9IZC,1.0
28276,20240923,US8295,1.0
18866,20240923,FR35XB,1.0
30394,20240923,CN42S3,0.7547
5754,20240624,SO,1.0
1272,20240624,B1VMDH,0.2542
8588,20240624,EW036,0.2941
13793,20240624,US9IJW,1.0
14144,20240624,JP1XPV,0.6488
6077,20240923,CN16LR,0.6786
861,20240923,CN0J5N,0.7859
2142,20240624,TN202K,0.4556
4166,20240624,TH40CQ,0.7226
4501,20240923,CN12KM,0.5604
19312,20240624,CNF8J5,0.6163
33726,20240923,CN840B,0.6302
13983,20240923,CN1OSG,0.8138
19023,20240624,CN84T4,0.5721
2037,20240624,CN10VV,0.4667
3541,20240624,JP20EO,0.6686
10241,20240624,CATY,1.0
3960,20240923,TH222G,0.25
13726,20240923,KR70HZ,0.3962
19035,20240923,ID80GJ,0.4549
4809,20240624,JP02EO,0.7463
4537,20240923,CN0VUO,0.5564
17715,20240923,CN7PKF,0.5602
20153,20240923,TW06HC,0.9124
28150,20240923,TR30M9,0.2318
27614,20240923,CN3CKY,0.8357
13787,20240624,HK3116,0.5106
16880,20240624,JP42M0,0.6659
7629,20240624,KR11GT,0.8389
8047,20240624,CN1WD9,0.7305
894,20240923,US4190,1.0
19175,20240624,CN8OE9,0.3914
29773,20240923,CN286F,0.4071
13883,20240624,JP1WEJ,0.725
7390,20240923,DE203W,0.5177
18874,20240624,KR90AU,0.3725
19834,20240624,CNF0DR,0.8852
516,20240624,SG003B,0.689
26028,20240923,US3W3O,0.8932
2010,20240624,CN0RE4,0.4039
7760,20240624,CN22QT,0.503
3105,20240624,AIZ,1.0
96,20240624,TH228M,0.9307
15411,20240624,CH2072,1.0
29129,20240923,CNELA8,0.5072
7164,20240923,KR152J,0.5818
13501,20240624,CN0VUO,0.5564
15408,20240624,CN38AK,0.5198
8223,20240923,JP802I,0.7561
2585,20240624,TYSNA,1.0
