Date;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Segment;Size
6/18/2012;KR00P0;KR7010060002;6497004;010060.KS;OCI Co Ltd;KR;Emerging;STANDARD
6/18/2012;KR009K;KR7015760002;6495730;015760.KS;Korea Electric Power Corp;KR;Emerging;STANDARD
6/18/2012;TW00SH;TW0006505001;6718716;6505.TW;Formosa Petrochemical Corp;TW;Emerging;STANDARD
6/18/2012;IN04OX;INE776C01039;B192HJ1;GMRI.NS;GMR;IN;Emerging;STANDARD
6/18/2012;EV016;RU0007661302;B59MFL7;URKA.MM;URALKALI;RU;Emerging;STANDARD
6/18/2012;BR0035;BRITUBACNPR1;B037HR3;ITUB4.SA;ITAU UNIBANCO HOLDING SA -PREF;BR;Emerging;STANDARD
6/18/2012;EW031;LU0327357389;B28ZQ24;KERN.WA;KERNEL HLDG;PL;Emerging;STANDARD
6/18/2012;KR00LW;KR7004020004;6461850;004020.KS;Hyundai Steel Co;KR;Emerging;STANDARD
6/18/2012;BR00FH;BRBRFSACNOR8;2036995;BRFS3.SA;BRF - Brasil Foods SA;BR;Emerging;STANDARD
6/18/2012;BR109C;BRKLBNACNPR9;2813347;KLBN4.SA;KLABIN S.A. - PREF;BR;Emerging;STANDARD
6/18/2012;597895;PLSOFTB00016;5978953;ACPP.WA;ASSECO POLAND;PL;Emerging;STANDARD
6/18/2012;ID00C7;ID1000061302;6454861;INTP.JK;Indocement Tunggal Prakarsa Tb;ID;Emerging;STANDARD
6/18/2012;ZA211D;ZAE000006284;6777007;SAPJ.J;SAPPI;ZA;Emerging;STANDARD
6/18/2012;TW05E8;TW0002888005;6452586;2888.TW;Shin Kong Finanl;TW;Emerging;STANDARD
6/18/2012;TW05PJ;TW0003008009;6451668;3008.TW;LARGAN Precision;TW;Emerging;STANDARD
6/18/2012;TW1FV0;TW0005483002;6335278;5483.TWO;SINO-AMER.SILICON PRDS.;TW;Emerging;STANDARD
6/18/2012;KR008J;KR7105560007;B3DF0Y6;105560.KS;KB Financial Group Inc;KR;Emerging;STANDARD
