,frm_currency,to_currency,date,exchange_rate,cutoff_date
0,AED,USD,1998-02-27,0.2722645492253352,1998-02-27
0,ARS,USD,1998-02-27,1.0005002701,1998-02-27
0,AUD,USD,1998-02-27,0.6785,1998-02-27
0,ATS,USD,1998-02-27,0.0782227785,1998-02-27
0,BEF,USD,1998-02-27,0.0267022697,1998-02-27
0,BRL,USD,1998-02-27,0.884799542,1998-02-27
0,CAD,USD,1998-02-27,0.7026419337,1998-02-27
0,CHF,USD,1998-02-27,0.682,1998-02-27
0,CLP,USD,1998-02-27,0.002223952,1998-02-27
0,CNY,USD,1998-02-27,0.120789005,1998-02-27
0,CZK,USD,1998-02-27,0.029414364,1998-02-27
0,DKK,USD,1998-02-27,0.1445086705,1998-02-27
0,EGP,USD,1998-02-27,0.29378945,1998-02-27
0,ESP,USD,1998-02-27,0.0065015279,1998-02-27
0,FIM,USD,1998-02-27,0.1817520901,1998-02-27
0,FRF,USD,1998-02-27,0.1642845408,1998-02-27
0,GBP,USD,1998-02-27,1.6436554898,1998-02-27
0,GRD,USD,1998-02-27,0.0034768097,1998-02-27
0,HKD,USD,1998-02-27,0.1291655903,1998-02-27
0,HUF,USD,1998-02-27,0.004791682,1998-02-27
0,ILS,USD,1998-02-27,0.279041347,1998-02-27
0,IDR,USD,1998-02-27,0.000112994,1998-02-27
0,ITL,USD,1998-02-27,0.0005594406,1998-02-27
0,INR,USD,1998-02-27,0.025412976,1998-02-27
0,JPY,USD,1998-02-27,0.0079302141,1998-02-27
0,JOD,USD,1998-02-27,1.4064698202,1998-02-27
0,KWD,USD,1998-02-27,3.279763857002296,1998-02-27
0,KRW,USD,1998-02-27,0.00061237,1998-02-27
0,MAD,USD,1998-02-27,0.1019181184,1998-02-27
0,MXN,USD,1998-02-27,0.117322715,1998-02-27
0,MYR,USD,1998-02-27,0.272108969,1998-02-27
0,NLG,USD,1998-02-27,0.4888063349,1998-02-27
0,NOK,USD,1998-02-27,0.1320132013,1998-02-27
0,NZD,USD,1998-02-27,0.5845,1998-02-27
0,PTE,USD,1998-02-27,0.0053835801,1998-02-27
0,PKR,USD,1998-02-27,0.022724176,1998-02-27
0,QAR,USD,1998-02-27,0.27453111957403875,1998-02-27
0,RUB,USD,1998-02-27,0.165330269,1998-02-27
0,SAR,USD,1998-02-27,0.2666099107488664,1998-02-27
0,SEK,USD,1998-02-27,0.1250046877,1998-02-27
0,SGD,USD,1998-02-27,0.6180469716,1998-02-27
0,THB,USD,1998-02-27,0.023201861,1998-02-27
0,TRY,USD,1998-02-27,4.331348883,1998-02-27
0,TWD,USD,1998-02-27,0.031175968,1998-02-27
0,USD,USD,1998-02-27,1.0,1998-02-27
0,ZAR,USD,1998-02-27,0.20236771,1998-02-27
0,AED,USD,1998-05-29,0.2722496280797831,1998-05-29
0,ARS,USD,1998-05-29,1.0005002701,1998-05-29
0,AUD,USD,1998-05-29,0.6225,1998-05-29
0,ATS,USD,1998-05-29,0.0797003268,1998-05-29
0,BEF,USD,1998-05-29,0.027173913,1998-05-29
0,BRL,USD,1998-05-29,0.869414091,1998-05-29
0,CAD,USD,1998-05-29,0.6866245537,1998-05-29
0,CHF,USD,1998-05-29,0.6739,1998-05-29
0,CLP,USD,1998-05-29,0.002198044,1998-05-29
0,CNY,USD,1998-05-29,0.120783161,1998-05-29
0,CZK,USD,1998-05-29,0.030332905,1998-05-29
0,DKK,USD,1998-05-29,0.1470263912,1998-05-29
0,EGP,USD,1998-05-29,0.293143394,1998-05-29
0,ESP,USD,1998-05-29,0.0065941312,1998-05-29
0,FIM,USD,1998-05-29,0.1846040244,1998-05-29
0,FRF,USD,1998-05-29,0.167000668,1998-05-29
0,GBP,USD,1998-05-29,1.6313213703,1998-05-29
0,GRD,USD,1998-05-29,0.0032781511,1998-05-29
0,HKD,USD,1998-05-29,0.1290572369,1998-05-29
0,HUF,USD,1998-05-29,0.004671479,1998-05-29
0,ILS,USD,1998-05-29,0.27364274,1998-05-29
0,IDR,USD,1998-05-29,8.85e-05,1998-05-29
0,ITL,USD,1998-05-29,0.0005685048,1998-05-29
0,INR,USD,1998-05-29,0.023995208,1998-05-29
0,JPY,USD,1998-05-29,0.0072072072,1998-05-29
0,JOD,USD,1998-05-29,1.4064698202,1998-05-29
0,KWD,USD,1998-05-29,3.266906666698029,1998-05-29
0,KRW,USD,1998-05-29,0.00071048,1998-05-29
0,MAD,USD,1998-05-29,0.1029972223,1998-05-29
0,MXN,USD,1998-05-29,0.113430127,1998-05-29
0,MYR,USD,1998-05-29,0.260382769,1998-05-29
0,NLG,USD,1998-05-29,0.496845034,1998-05-29
0,NOK,USD,1998-05-29,0.1325732467,1998-05-29
0,NZD,USD,1998-05-29,0.534,1998-05-29
0,PTE,USD,1998-05-29,0.0054659743,1998-05-29
0,PKR,USD,1998-05-29,0.022484554,1998-05-29
0,QAR,USD,1998-05-29,0.2755257364316369,1998-05-29
0,RUB,USD,1998-05-29,0.162087705,1998-05-29
0,SAR,USD,1998-05-29,0.2665956811233062,1998-05-29
0,SEK,USD,1998-05-29,0.1277302337,1998-05-29
0,SGD,USD,1998-05-29,0.5968367651,1998-05-29
0,THB,USD,1998-05-29,0.024758604,1998-05-29
0,TRY,USD,1998-05-29,3.871167844,1998-05-29
0,TWD,USD,1998-05-29,0.029433428,1998-05-29
0,USD,USD,1998-05-29,1.0,1998-05-29
0,ZAR,USD,1998-05-29,0.193948828,1998-05-29
0,AED,USD,1998-08-31,0.2722645492253352,1998-08-31
0,ARS,USD,1998-08-31,1.00020007,1998-08-31
0,AUD,USD,1998-08-31,0.5676,1998-08-31
0,ATS,USD,1998-08-31,0.0804375804,1998-08-31
0,BEF,USD,1998-08-31,0.0275717555,1998-08-31
0,BRL,USD,1998-08-31,0.849689863,1998-08-31
0,CAD,USD,1998-08-31,0.6384472962,1998-08-31
0,CHF,USD,1998-08-31,0.6979,1998-08-31
0,CLP,USD,1998-08-31,0.002115731,1998-08-31
0,CNY,USD,1998-08-31,0.12077295,1998-08-31
0,CZK,USD,1998-08-31,0.030762615,1998-08-31
0,DKK,USD,1998-08-31,0.1491535536,1998-08-31
0,EGP,USD,1998-08-31,0.293169296,1998-08-31
