STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
BR3038;2836946;BRKROTACNOR9;20190318;1;1.0
BR008A;B019KX8;BRCSNAACNOR6;20190318;1;1.0
BR00SU;2945422;BRWEGEACNOR0;20190318;1;1.0
BR15EM;B56XQT8;BRENGICDAM16;20190318;1;1.0
BR206A;B7FQV64;BRRADLACNOR0;20190318;1;1.0
BR05IP;B0FHTN1;BRUGPAACNOR8;20190318;1;1.0
BR10RU;2308445;BRELETACNPB7;20190318;1;1.0
BR02KO;B0P72G5;BRCSANACNOR6;20190318;1;1.0
BR1025;2292560;BRTIMPACNOR1;20190318;1;1.0
BR10KN;B00FM86;BRBBDCACNOR1;20190318;1;1.0
CL0298;2684349;CLP763281068;20190318;1;1.0
CL00KH;BYT25P4;CL0002262351;20190318;1;1.0
CL00QN;2311454;CLP3697S1034;20190318;1;1.0
CL0063;2196015;CL0000001314;20190318;1;1.0
CL00FC;2297628;CLP371151059;20190318;1;1.0
CL00WT;2311238;CL0000000035;20190318;1;1.0
CL0085;2000257;CLP1506A1070;20190318;1;1.0
CL00B8;2718301;CLP8716X1082;20190318;1;1.0
CL00EB;B83J214;CL0001880955;20190318;1;1.0
CL002Z;2196026;CLP7847L1080;20190318;1;1.0
CL00A7;2069355;CLP321331116;20190318;1;1.0
CL00DA;2100845;CLP0939W1081;20190318;1;1.0
CL00C9;2309255;CLP3615W1037;20190318;1;1.0
CL0030;2299453;CLP371861061;20190318;1;1.0
CL6025;BYMLZD6;CL0002266774;20190318;1;1.0
CL001Y;2771672;CLP3880F1085;20190318;1;1.0
CL0074;2518932;CL0000000423;20190318;1;1.0
CL00LI;BWXTK30;CL0001583070;20190318;1;1.0
CL0052;B00R3L2;CL0000000100;20190318;1;1.0
CL00GD;2196189;CLP249051044;20190318;1;1.0
CN02NO;B61VK25;CNE100000LQ8;20190318;1;0.0436936
645514;6455143;HK0165000859;20190318;1;1.0
CN409C;B8XBQ96;CNE100001M79;20190318;1;1.0
CN89O4;BMMV2K8;KYG875721634;20190318;1;1.0
CN0NWI;B55JM22;CNE100000HB8;20190318;1;0.1
CN86T6;B3N0H17;US92763W1036;20190318;1;1.0
HK00RS;6181482;BMG1368B1028;20190318;1;1.0
CN04X0;6412687;CNE000000JM2;20190318;1;0.0590319
CN882H;BRXVS60;BMG0171K1018;20190318;1;1.0
CN40KN;BJ0JR20;CNE100001RQ3;20190318;1;0.0827586
672529;6725299;CNE100000502;20190318;1;1.0
CN8FVH;BY9D3L9;KYG8875G1029;20190318;1;1.0
CN52Y4;BW9LF13;CNE100001ZV6;20190318;1;0.0464468
CN1I8Q;B2R2ZC9;CNE100000BG0;20190318;1;1.0
CN8D8S;B56KLY9;KYG5635P1090;20190318;1;1.0
CN0065;6226576;CNE1000003W8;20190318;1;1.0
CN1I7P;B297KM7;CNE1000007Z2;20190318;1;1.0
CN8C0J;B1Z7FX0;HK0656038673;20190318;1;1.0
CN2089;B281JM3;CNE100000767;20190318;1;0.1
CN2012;B6SPB49;CNE1000016V2;20190318;1;1.0
CN2056;B1W9Z06;CNE1000000S2;20190318;1;0.0538117
CN00BA;B1DYPZ5;CNE1000002M1;20190318;1;1.0
CN0313;B249NZ2;CNE100000734;20190318;1;0.022867
CN0P1P;6706250;CNE100000593;20190318;1;1.0
CN88T8;6531827;KYG3777B1032;20190318;1;1.0
CN06HM;6802006;CNE000000040;20190318;1;0.0676743
CN72LT;BD2Z4Y5;CNE100002K47;20190318;1;0.0631712
CN877L;BD6FLL7;US36165L1089;20190318;1;1.0
CN40MP;BJ3KJC4;CNE100001SL2;20190318;1;0.1
CN1I6O;B57JY24;CNE100000HF9;20190318;1;1.0
