Date,GMSR_Developed,GMSR_Developed_Upper,GMSR_Developed_Lower,GMSR_Emerging,GMSR_Emerging_Upper,GMSR_Emerging_Lower,Rank
2022-03-21,9046426526.25,10403390505.1875,4523213263.125,4523213263.125,5201695252.59375,2261606631.5625,1280
2022-06-20,8407204382.122164,9668285039.440487,4203602191.061082,4203602191.061082,4834142519.720243,2101801095.530541,1273
2022-09-19,7898390205.5,9083148736.324999,3949195102.75,3949195102.75,4541574368.162499,1974597551.375,1259
2022-12-19,8241526393.059709,9477755352.018663,4120763196.5298543,4120763196.5298543,4738877676.009332,2060381598.2649271,1235
2023-03-20,8100169997.4800005,9315195497.102,4050084998.7400002,4050084998.7400002,4657597748.551,2025042499.3700001,1272
2023-06-19,8736272725.437805,10046713634.253475,4368136362.718903,4368136362.718903,5023356817.126738,2184068181.3594513,1176
2023-09-18,9355648904.357887,10758996240.01157,4677824452.178944,4677824452.178944,5379498120.005785,2338912226.089472,1165
2023-12-18,9618505316.28,11061281113.722,4809252658.14,4809252658.14,5530640556.861,2404626329.07,1114
2024-03-18,11139504123.0,12810429741.449999,5569752061.5,5569752061.5,6405214870.724999,2784876030.75,1077
2024-06-24,11482435745.220001,13204801107.003,5741217872.610001,5741217872.610001,6602400553.5015,2870608936.3050003,1053
