Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2019-03-18,E004YQYWT,IN,IN827M,1.0,INE545U01014,BG1SV45,BANDHAN BANK,1514588819.0,0.00031091036934350756
2019-03-18,E004YNNC9,CN,CN2012,1.0,CNE1000016V2,B6SPB49,CITIC SECURITIES 'H',4958534958.0,0.0010178735745668235
2019-03-18,E004YQ17M,TR,498674,1.0,TRAYKBNK91N6,B03MZJ6,YAPI VE KREDI BANKASI,660272561.0,0.00013553882296809272
2019-03-18,E004YN90W,CN,CN8D8S,1.0,KYG5635P1090,B56KLY9,LONGFOR GROUP HOLDINGS,5092471741.0,0.0010453677262130146
2019-03-18,E004YOM9O,CN,663094,1.0,HK0257001336,6630940,CHINA EVERBRIGHT INTL.,3311581292.0,0.0006797917360082993
2019-03-18,E004YRAFQ,MX,MX004N,1.0,MXP4987V1378,2380108,GRUPO TELEVISA,6447609177.0,0.0013235463813388013
2019-03-18,E004YO38W,TW,TW02JA,1.0,TW0002207008,6417165,Hotai Motor,4633907784.0,0.0009512350563755182
2019-03-18,E004YRNPZ,CN,CN8FF1,1.0,KYG2116J1085,BH7HM06,CHINA CONCH VET.HOLDINGS,5431767175.0,0.0011150173019778451
2019-03-18,E004YRB0V,BR,BR02KO,1.0,BRCSANACNOR6,B0P72G5,COSAN SA INDUSTRIA E COMERCIO,2038802885.0,0.0004185195018225991
2019-03-18,E004YRC0Z,CL,CL00EB,1.0,CL0001880955,B83J214,AES Gener SA,800814774.0,0.00016438891799324548
2019-03-18,E004YMUPO,BR,BR00TV,1.0,BRCMIGACNPR3,B1YBRG0,CEMIG - PREF,3548782757.0,0.0007284837599865717
2019-03-18,E004YP7LI,CN,CN870E,1.0,US60879B1070,BSS6HX7,MOMO ADR CL A,8028490456.0,0.001648065073261171
2019-03-18,E004YRBEF,CN,CN40IL,1.0,CNE100001QW3,B5NRRJ0,CHINA EVERBRIGHT BK.'H',2318095848.0,0.00047585194558030824
2019-03-18,E004YPEL5,IN,IN057H,0.747179,INE158A01026,6327327,HERO METOCORP,3813011161.0,0.0007827237950694436
2019-03-18,E004YQRWY,BR,BR10RU,1.0,BRELETACNPB7,2308445,ELETROBRAS - PREF,2338766492.0,0.00048009515501113673
2019-03-18,E004YQE4O,CN,CN209A,0.02082755,CNE100000742,B24G126,CHINA CON.BANK 'A',306578292.0,0.00006293349640686982
2019-03-18,E004YQZEG,IN,IN00MR,0.8295034,INE238A01034,BPFJHC7,AXIS BANK,20860399221.0,0.0042821618284071905
2019-03-18,E004YQ1L1,ID,ID004Z,1.0,ID1000095003,6651048,Bank Mandiri Tbk PT,9159228551.0,0.00188017968703426
2019-03-18,E004YSJDN,KR,KR03ZD,1.0,KR7012750006,6180230,S-1 Corporation,1975027913.0,0.00040542796182794675
2019-03-18,E004YOMXW,CN,CN8EF0,1.0,HK0000083920,B3MPN59,SUN ART RETAIL GROUP,2007917858.0,0.00041217951368106897
2019-03-18,E004YMCFI,KR,KR03KY,1.0,KR7010140002,6772217,Samsung Heavy In,3830716172.0,0.0007863582280192889
2019-03-18,E004YMAW4,MX,MX00AT,1.0,MXP370641013,2822398,Grupo Financiero Inbursa SA,3140763517.0,0.0006447267620368481
2019-03-18,E004YU7OS,CN,CN90NV,1.0,KYG2743Y1061,BYQ9796,DALI FOODS GROUP CO.,1530781861.0,0.0003142344297128024
