Country,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
CL,0.010963310825483382,0.012913948131853295,0.01271951403131531,0.009477066346485447,0.008270763991856401,0.008979273423428509,0.00904887426473854,0.008300390883801426,0.0078720032691794,0.004986689460241243,0.004113774345780705,0.0038560085369573486,0.004697545352427002,0.0032814341463347353,0.0031539953884782267,0.0033953885305656397,0.0049564419870681345,0.005893443273135557,0.005584257701445373,0.005289344002448094,0.005075604591961514,0.005661026442427398
RU,0.017976862067631553,0.017880752598532248,0.017682225063030278,0.01830658520016157,0.01650521659877707,0.01726522273195702,0.03855178127425245,0.01802410447856901,0.011138077492841575,0.01143594393327027,0.011751488573853764,0.009108852572030039,,,,,,,,,,
TR,0.008405250704251636,0.007584385739498859,0.008209823241371369,0.009039441133671269,0.010386650413390907,0.010230730429143868,0.006681076324028477,0.007864860554587018,0.006935940286786627,0.005594923247766911,0.010143961633492269,0.007056455655276014,0.008020148036997696,0.0050801027104046,0.008102407383367437,0.01889081107097986,0.015193195057779925,0.010322505181659947,0.018110368964827806,0.016712167454676047,0.01681966943015222,0.017001478406299203
KR,0.16243519473497914,0.1526544819023676,0.13615688938634335,0.14207400633017042,0.1309071589742637,0.1645034735303894,0.15054820765624136,0.16330483258336626,0.15986843863696823,0.1697051311831555,0.2125342452397854,0.20474381283139675,0.18670384103139315,0.17854440660076584,0.1354279948513455,0.14880224395456984,0.14586616617802417,0.1517108537936547,0.14612423413568196,0.14121780367628742,0.14161736934520566,0.13640303734874887
BR,0.08327877910853808,0.08407857632765567,0.08906104465094855,0.09847709791122972,0.07287352154525945,0.0747480467947209,0.08160952209277188,0.0740242627637936,0.061531008385668794,0.07437520307105554,0.041009571619487255,0.03275228980019425,0.03605617208735026,0.04196782352954944,0.043548637915695285,0.03622360926412296,0.031420881329677415,0.04347506750303229,0.043646973424650216,0.04319209568187086,0.03946657134699535,0.029816153024854717
PH,0.007477043485020174,0.008964249801838702,0.010430312158155701,0.006496047822412914,0.00443343687414467,0.004346550696424916,0.003649163046327567,0.005866807284650698,0.005625108260444209,0.006430183596880662,0.005475150003504386,0.006049025634256192,0.0052721967578692,0.003826294555472207,0.0038539786656039184,0.004064248149657183,0.004495304030471536,0.00375455136484516,0.0028424276895890133,0.002947165182577891,0.0031717901085736265,0.002601385183131002
EG,0.0029157439225456403,0.0032591660825660087,0.004626707748645794,0.004502843984884448,0.0033185230068295203,0.002308850229820705,0.0023576434817741557,0.0024821080653733524,0.0030775828431016685,0.00328309874481376,0.0035511099316038706,0.0033436065632291402,0.002717432217751255,0.0016328925378475848,0.0015026336552771671,0.0017241911080975083,0.0012480266593466302,0.0013968856968848442,0.0014038016646406677,0.002111530565544489,0.0006835109269687552,0.00034416998177660025
ZA,0.05127341090778074,0.04884554554466256,0.04207188164461405,0.043068467355762544,0.03021152106593328,0.024240657842703885,0.01462181791498744,0.019655007676371926,0.02130009293113957,0.02273910149218212,0.025002686960918046,0.027298610734615567,0.025881724783348704,0.032619335601669,0.023159957335345843,0.023902798434587428,0.020720946310780093,0.017649687480189052,0.01708829895832937,0.01834845830108852,0.015555583523413694,0.01705522056660321
CZ,0.0003178212192777325,0.0003058822406411095,0.00031112419475091496,0.0003481380698356278,0.0004385714732643896,0.0003579192865595762,0.0003243734673322782,0.00035501940275192343,0.00034430620339560614,0.00030537393326054133,0.00030504352980787066,0.00031496119466143296,0.0004827506312618874,,,,,,,,,
PL,0.012477066751195396,0.012523125604254223,0.008420414120174457,0.009255697163596626,0.008928944852959043,0.010645758354504743,0.00876735656574417,0.009362065041671273,0.01058380558448587,0.011111798960965282,0.015773163113686147,0.013853694361262986,0.011318105747161905,0.011905042519640186,0.008175132228030032,0.01091164609860131,0.014937025038725366,0.01474110675943745,0.013720537107550026,0.014857061146898163,0.016441504994762407,0.016567680904545582
CO,0.0029567396504216396,0.0033793626590808623,0.0046189906828654325,0.004678894740413567,0.002699623238179328,0.0012734387641767913,0.001038298646828141,0.0013304808126396927,0.0010113476649956108,0.0008626832528827484,0.000854912547825381,0.000914664989306458,0.0009067401942816556,0.0013883624981185733,0.0009580061056025691,0.0008315542554828043,0.0006826987020872006,0.0006435326318781598,,,,
AE,,,,,,,,,,,,,,,0.007543936161102314,0.003001574601784031,0.005232092007436941,0.002933274448291481,0.002912163264314961,0.00261235591990928,0.002284704398364462,0.0020329707727127022
QA,,,,,,,,,,,,,,,0.011309960020833858,0.010600205150503481,0.009161657858910741,0.009150279627680358,0.009087497040967923,0.00897834214964386,0.009408280607660368,0.008620486760144104
SA,,,,,,,,,,,,,,,0.04776521070681792,0.03156753547139288,0.03524399697444936,0.02822526438477584,0.03199857573873658,0.0336158370120569,0.03903276121480451,0.03579816269502806
KW,,,,,,,,,,,,,,,0.016899026070233397,0.015151478036820609,0.01421332643223751,0.013166756754753239,0.012957751711740326,0.01181031416072446,0.012586405286422783,0.012047261182857736
