STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
486993;B03MYS8;TRAISCTR91N2;20190318;1;1.0
TW001Q;6889106;TW0002330008;20190318;1;1.0
KR05IY;6211732;KR7042660001;20190318;1;1.0
EV075;B5B1TJ8;RU0006944147;20190318;1;1.0
TW104U;B1YMYT5;TW0002049004;20190318;1;1.0
CL0074;2518932;CL0000000423;20190318;1;1.0
CN0043;6718976;CNE1000002L3;20190318;1;1.0
ZA209K;6588577;ZAE000044897;20190318;1;1.0
449148;B03MVJ8;TRAKCHOL91Q8;20190318;1;1.0
KR20DQ;B7F9Q79;KR7007070006;20190318;1;1.0
IN02Y5;BG0ZVG9;INE111A01025;20190318;1;0.7522124
690580;6905808;CNE1000004K1;20190318;1;1.0
EV010;B57R0L9;RU000A0JNAA8;20190318;1;1.0
TH00JT;6905295;TH0471010Y04;20190318;1;0.9432146
TW040T;6186669;TW0002474004;20190318;1;1.0
KR02ZC;6537085;KR7005940002;20190318;1;1.0
CN13RU;6353537;CNE000000230;20190318;1;0.0159046
TH003D;B1359K1;TH0355A10Z04;20190318;1;1.0
MY00I2;6557997;MYL3816OO005;20190318;1;1.0
CN536D;BZ0HMX2;CNE1000022F3;20190318;1;0.0521558
CL0030;2299453;CLP371861061;20190318;1;1.0
MX203O;B671GT8;MXCFFU000001;20190318;1;1.0
IN028F;B0C1DM3;INE465A01025;20190318;1;0.6530612
CN67AM;BWGCFG4;CNE100001TR7;20190318;1;1.0
MX001K;2667470;MXP001691213;20190318;1;1.0
TW05VP;6346333;TW0003034005;20190318;1;1.0
IN00QV;6101156;INE081A01012;20190318;1;0.3917728
740536;B03MS64;TREENKA00011;20190318;1;1.0
CN20NO;B3NBFQ1;CNE1000010M4;20190318;1;0.0811908
KR00T4;6805049;KR7004170007;20190318;1;1.0
CL00C9;2309255;CLP3615W1037;20190318;1;1.0
TW02SJ;6984380;TW0002327004;20190318;1;1.0
CN89O4;BMMV2K8;KYG875721634;20190318;1;1.0
436161;B03MYP5;TRAGARAN91N1;20190318;1;1.0
PL10DO;B6R2S06;PLJSW0000015;20190318;1;1.0
451944;4519449;CZ0008019106;20190318;1;1.0
CN0YC9;6316057;CNE0000016S0;20190318;1;0.1
TH224I;B018C06;TH0128B10Z09;20190318;1;0.6420335
IN00EJ;6171900;INE001A01036;20190318;1;1.0
HK30CG;B8RZJZ1;CNE100001MK7;20190318;1;1.0
CN40AD;BDVHRJ8;CNE100001QQ5;20190318;1;0.0452352
609967;6099671;CNE1000006Z4;20190318;1;1.0
CN01CC;B1P13B6;CNE000001QZ7;20190318;1;0.0395361
