STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CN0GKZ;6240662;CNE0000012L4;20190318;1;0.0531444
CN63AI;6003940;CNE0000005J2;20190318;1;0.1
CN0MWH;B3BXJ45;CNE100000CM6;20190318;1;0.0482238
680206;6535261;HK0604011236;20190318;1;1.0
CN1IR9;B4RMQR5;CNE1000013B1;20190318;1;0.0620347
CN0B4E;6086297;CNE000000719;20190318;1;0.0438982
CN20LM;6330239;CNE0000017K5;20190318;1;0.056872
CN849K;B5SZ8W9;CNE100000WX1;20190318;1;0.04971
CN0G9O;6183251;CNE0000011D3;20190318;1;0.0545554
CN0N9V;B43J9J3;CNE100000F87;20190318;1;0.0536385
CN16OU;6694065;CNE000001G04;20190318;1;0.071599
CN0YB8;6320887;CNE000001782;20190318;1;0.0620091
CN82Z8;6889946;CNE000000GX5;20190318;1;0.0463607
CN1GM2;6981080;CNE0000003W0;20190318;1;0.0596421
CN0Q2R;B0Y91C1;CNE1000002N9;20190318;1;1.0
CN0Q6V;B1L3XL6;CNE1000004X4;20190318;1;1.0
CN05UY;B1PB0D7;CNE000001R68;20190318;1;0.1
CN89XD;B01JCK9;KYG5496K1242;20190318;1;1.0
CN07KQ;6112095;CNE000000RL7;20190318;1;0.0506329
CN0C0B;6504476;CNE0000004H9;20190318;1;0.0522739
CN0OCZ;B0PH5N3;CNE100000312;20190318;1;1.0
CN01MM;6783048;CNE000000NH4;20190318;1;0.0497595
CN2124;6817044;CNE000000MK0;20190318;1;0.1
CN0155;6515854;CNE000000LY3;20190318;1;0.0395622
CN11EF;6561051;CNE000001D15;20190318;1;0.0431219
CN72Y6;BRB3857;HK0000218211;20190318;1;1.0
CN64OX;BVV6QQ1;CNE100001TS5;20190318;1;0.0761808
CN8BUC;B1YBF00;KYG532241042;20190318;1;1.0
CN0TNF;6116666;CNE000000WF9;20190318;1;0.059952
CN0GP4;6281519;CNE0000013Y5;20190318;1;0.0657895
CN50GK;BSBMM04;CNE100001T80;20190318;1;1.0
CN83HR;6254339;CNE000001360;20190318;1;0.0430046
CN09MU;6388551;CNE0000006J0;20190318;1;0.1
CN8GOB;BFYD504;CNE1000036B2;20190318;1;0.1
CN20Z0;B68JHQ5;CNE100000X77;20190318;1;0.0956938
CN0AEN;6129255;CNE0000002G5;20190318;1;0.0262369
CN0QRG;6344627;CNE000001BD6;20190318;1;0.0684463
CN0908;6997139;CNE0000002Y8;20190318;1;0.0511247
CN0X40;BSBND71;CNE100001T72;20190318;1;1.0
CN0TD5;BJ34614;CNE100001QV5;20190318;1;1.0
CN1BAL;6600879;CNE1000003R8;20190318;1;1.0
678204;6782045;CNE1000002S8;20190318;1;1.0
CN0PC0;B12YMD3;CNE1000002Y6;20190318;1;1.0
CN24FK;6026691;CNE000000K82;20190318;1;1.0
CN1IBT;B544N70;CNE100000X85;20190318;1;1.0
CN1DP2;6388700;CNE100000379;20190318;1;1.0
B018L7;B018L76;CNE100000536;20190318;1;1.0
CN24RW;6944953;CNE000000J36;20190318;1;1.0
CN24V0;6808725;CNE000000HM6;20190318;1;1.0
CN24MR;6393210;CNE000000HW5;20190318;1;1.0
CO8019;BJ0K875;COT60PA00038;20190318;1;1.0
