STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
TH21HU;B0166D1;TH0168A10Z01;20190318;1;0.7560562
BR206A;B7FQV64;BRRADLACNOR0;20190318;1;1.0
TW00C1;6260734;TW0002308004;20190318;1;1.0
PH046G;6818843;PHY8076N1120;20190318;1;0.7911392
KR01BN;6496755;KR7000880005;20190318;1;1.0
CN083A;B1WPGD4;CNE1000000D4;20190318;1;0.0389965
IN03JR;6602518;INE361B01024;20190318;1;0.5550416
ZA20JU;BN8SXL8;ZAE000190724;20190318;1;1.0
CN87AO;BYWT1W1;US46267X1081;20190318;1;1.0
KR18G0;6773812;KR7005931001;20190318;1;1.0
CN0D6I;6107176;CNE0000008L2;20190318;1;0.0650477
CN88T8;6531827;KYG3777B1032;20190318;1;1.0
715033;B59FPS3;RU0007775219;20190318;1;1.0
TW030S;6868439;TW0002347002;20190318;1;1.0
KR189T;6537159;KR7005941000;20190318;1;1.0
CN0QNC;6307954;CNE0000015R4;20190318;1;0.0836587
KR00EP;6450267;KR7000660001;20190318;1;1.0
TH20BN;BYV76L0;TH6999010007;20190318;1;0.9057301
KR108K;6419451;KR7003670007;20190318;1;1.0
724353;7243530;GRS282183003;20190318;1;1.0
IN30FN;B98CG57;INE148I01020;20190318;1;1.0
KR007I;6449544;KR7012330007;20190318;1;1.0
CN8AVC;6903556;KYG8878S1030;20190318;1;1.0
TW08JG;6696157;TW0009904003;20190318;1;1.0
CN70MS;BDCFSQ5;CNE1000029Z6;20190318;1;1.0
CN1066;B4TPTS4;CNE100000W60;20190318;1;0.1
KR03N1;6406055;KR7010950004;20190318;1;1.0
KR00JU;6155250;KR7000810002;20190318;1;1.0
CN72PX;BP41ZD1;US01609W1027;20190318;1;1.0
CN20HI;B4TH690;CNE1000017G1;20190318;1;0.0983929
IN0AR6;B01GZF6;INE481G01011;20190318;1;1.0
TH20ZB;BF13JT4;TH0279010Y01;20190318;1;1.0
CN00FE;B1JNK84;CNE100000528;20190318;1;1.0
CN14BF;6802794;CNE000000BB2;20190318;1;0.1
TW01C2;6348588;TW0001434009;20190318;1;1.0
CN00WV;6458841;CNE000000JP5;20190318;1;0.0386299
KR17UD;6155261;KR7000811000;20190318;1;1.0
B0B8Z4;B0B8Z41;PLLOTOS00025;20190318;1;1.0
IN06Q1;6135661;INE237A01028;20190318;1;0.4029606
MY21BY;6868774;MYL8664OO004;20190318;1;1.0
ZA002B;6777450;ZAE000006896;20190318;1;1.0
TW050U;6199816;TW0002823002;20190318;1;1.0
KR71EX;BYZ6DH8;KR7091990002;20190318;1;1.0
ID0094;6230845;ID1000058407;20190318;1;1.0
CN0Y1Y;6434551;CNE0000019P0;20190318;1;0.071582
KR00DO;6537030;KR7003550001;20190318;1;1.0
617994;B00G0S5;HK0883013259;20190318;1;1.0
TW04UN;B04BGQ6;TW0002633005;20190318;1;1.0
KR008J;B3DF0Y6;KR7105560007;20190318;1;1.0
TH21T6;B435YH4;TH0991010008;20190318;1;1.0
IN050A;6294896;INE860A01027;20190318;1;1.0
B058LB;B59HPK1;RU000A0DKVS5;20190318;1;1.0
CN0032;B154564;CNE1000001Z5;20190318;1;1.0
ZA005E;6761000;ZAE000013181;20190318;1;1.0
KR714N;BF20GG0;KR7079440004;20190318;1;1.0
TW03E6;6133450;TW0002377009;20190318;1;1.0
CO0055;BJ62K57;COB07PA00078;20190318;1;1.0
401112;B03MN70;TRAAKBNK91N6;20190318;1;1.0
CN91PY;BYP71J9;KYG2121R1039;20190318;1;1.0
