STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
424894;4248947;GRS245213004;20190318;1;1.0
TW04OH;6189657;TW0002610003;20190318;1;0.8756254
KR17YH;6248503;KR7003541000;20190318;1;1.0
KR190L;6430139;KR7058470006;20190318;1;1.0
CN1RC3;BGK07D3;US33829R1005;20190318;1;1.0
KR15UB;6672384;KR7064760002;20190318;1;1.0
IN0A1G;B128WL3;INE424H01027;20190318;1;0.96
CN8FUG;BTF4P59;KYG982971072;20190318;1;1.0
KR19F0;6662932;KR7000151001;20190318;1;1.0
TH20V7;B05BPG8;TH0254A10Z06;20190318;1;0.7324365
KR51N4;BWCH4B1;KR7138250006;20190318;1;1.0
KR204H;6806116;KR7019170000;20190318;1;1.0
IN0AS7;6579634;INE692A01016;20190318;1;0.8707009
TW04F8;6314006;TW0002547007;20190318;1;1.0
KR12AO;B4Y8TB1;KR7112040001;20190318;1;1.0
PH20HP;B7RLFB0;PHY0927M1046;20190318;1;1.0
CO10GH;B88KB04;EST01PA00013;20190318;1;1.0
IN12MU;B40MFF3;INE414G01012;20190318;1;0.4472605
PK404H;B668PD7;PK0099701010;20190318;1;1.0
KR11Q3;6273204;KR7010780005;20190318;1;1.0
KR15TA;6589901;KR7002390003;20190318;1;1.0
BR10TW;B17MHG0;BRCESPACNPB4;20190318;1;1.0
CN0Q2R;B0Y91C1;CNE1000002N9;20190318;1;1.0
MY22XL;6556789;MYL1171OO007;20190318;1;1.0
CN0V0U;BN320D6;CNE100001SG2;20190318;1;1.0
BR044A;B1YWHR4;BRMRFGACNOR0;20190318;1;1.0
IN70IU;BYVC6Y8;INE405E01023;20190318;1;0.4978673
TW06JE;B056381;TW0003443008;20190318;1;1.0
TH203F;BYSXDN2;TH0418G10Z03;20190318;1;1.0
KR02FS;6621201;KR7003920006;20190318;1;1.0
TH219M;6554697;TH0371010Z05;20190318;1;0.5341065
IN00IN;6726816;INE749A01030;20190318;1;0.8454872
ID11SP;B7DZ3H8;ID1000124308;20190318;1;1.0
555255;5552551;PLTLKPL00017;20190318;1;1.0
TW07SO;6381828;TW0006116007;20190318;1;1.0
TW7084;6733690;TW0001515005;20190318;1;1.0
KR70Q8;BF1HQF1;KR7265520007;20190318;1;1.0
ID80MP;BFNBJ41;ID1000142805;20190318;1;1.0
KR202F;6771838;KR7003230000;20190318;1;1.0
TW05MG;6758422;TW0002915006;20190318;1;1.0
EG00A4;B2R2W06;EGS655L1C012;20190318;1;1.0
BR701A;BGSH2S6;BRCVCBACNOR1;20190318;1;1.0
KR13S7;6166616;KR7006840003;20190318;1;1.0
KR05N3;6344122;KR7047040001;20190318;1;1.0
CL00SP;B0LD0L8;CL0000001256;20190318;1;1.0
IN106C;6121488;INE192A01025;20190318;1;0.4266098
KR015H;B13RD05;KR7000400002;20190318;1;1.0
KR049O;6411189;KR7017800004;20190318;1;1.0
US03E3;B126TB6;US43289P1066;20190318;1;1.0
