Date,GMSR_Developed,GMSR_Developed_Upper,GMSR_Developed_Lower,GMSR_Emerging,GMSR_Emerging_Upper,GMSR_Emerging_Lower,Rank
2017-12-18,6293361521.07,7237365749.230499,3146680760.535,3146680760.535,3618682874.6152496,1573340380.2675,1399
2018-03-19,6415349789.1,7377652257.465,3207674894.55,3207674894.55,3688826128.7325,1603837447.275,1393
2018-06-18,6243414670.93,7179926871.5695,3121707335.465,3121707335.465,3589963435.78475,1560853667.7325,1411
2018-09-24,6461269687.16,7430460140.233999,3230634843.58,3230634843.58,3715230070.1169996,1615317421.79,1393
2018-12-24,6167193791.5199995,7092272860.247999,3083596895.7599998,3083596895.7599998,3546136430.1239996,1541798447.8799999,1345
2019-03-18,6423017287.305783,7386469880.40165,3211508643.6528916,3211508643.6528916,3693234940.200825,1605754321.8264458,1357
2019-06-24,6264456000.0,7204124399.999999,3132228000.0,3132228000.0,3602062199.9999995,1566114000.0,1337
2019-09-23,6522552493.145291,7500935367.1170845,3261276246.5726457,3261276246.5726457,3750467683.5585423,1630638123.2863228,1387
2019-12-23,6966064226.237973,8010973860.173669,3483032113.1189866,3483032113.1189866,4005486930.0868344,1741516056.5594933,1318
2020-03-23,6350167700.376479,7302692855.43295,3175083850.1882396,3175083850.1882396,3651346427.716475,1587541925.0941198,1387
2020-06-22,6005308963.55,6906105308.0824995,3002654481.775,3002654481.775,3453052654.0412498,1501327240.8875,1387
2020-09-21,6761772443.023431,7776038309.476945,3380886221.5117154,3380886221.5117154,3888019154.7384725,1690443110.7558577,1387
2020-12-21,7558330727.52,8692080336.648,3779165363.76,3779165363.76,4346040168.324,1889582681.88,1387
2021-03-22,8238092492.194026,9473806366.023129,4119046246.097013,4119046246.097013,4736903183.011564,2059523123.0485065,1387
2021-06-21,8797072083.862434,10116632896.4418,4398536041.931217,4398536041.931217,5058316448.2209,2199268020.9656086,1387
2021-09-20,8969880962.79,10315363107.2085,4484940481.395,4484940481.395,5157681553.60425,2242470240.6975,1387
2021-12-20,8490673112.521207,9764274079.399387,4245336556.2606034,4245336556.2606034,4882137039.699694,2122668278.1303017,1387
2022-03-21,8100851398.25,9315979107.9875,4050425699.125,4050425699.125,4657989553.99375,2025212849.5625,1387
2022-06-20,7386846485.85,8494873458.7275,3693423242.925,3693423242.925,4247436729.36375,1846711621.4625,1387
2022-09-19,6878518722.42,7910296530.782999,3439259361.21,3439259361.21,3955148265.3914995,1719629680.605,1387
2022-12-19,7017580967.086801,8070218112.14982,3508790483.5434003,3508790483.5434003,4035109056.07491,1754395241.7717001,1283
2023-03-20,7162431854.148283,8236796632.270525,3581215927.0741415,3581215927.0741415,4118398316.1352625,1790607963.5370708,1387
2023-06-19,7529172727.7699995,8658548636.9355,3764586363.8849998,3764586363.8849998,4329274318.46775,1882293181.9424999,1222
2023-09-18,8169549901.88,9394982387.161999,4084774950.94,4084774950.94,4697491193.580999,2042387475.47,1209
2023-12-18,8342878562.849999,9594310347.277498,4171439281.4249997,4171439281.4249997,4797155173.638749,2085719640.7124999,1164
2024-03-18,9471635219.93,10892380502.9195,4735817609.965,4735817609.965,5446190251.45975,2367908804.9825,1126
2024-06-24,9734725666.449543,11194934516.416973,4867362833.2247715,4867362833.2247715,5597467258.208487,2433681416.6123857,1100
