Date,GMSR_Developed,GMSR_Developed_Upper,GMSR_Developed_Lower,GMSR_Emerging,GMSR_Emerging_Upper,GMSR_Emerging_Lower,Rank
2016-03-21,4884212414.208313,5616844276.33956,2442106207.1041565,2442106207.1041565,2808422138.16978,1221053103.5520782,1337
2016-06-20,5195638091.599999,5974983805.339999,2597819045.7999997,2597819045.7999997,2987491902.6699996,1298909522.8999999,1369
2016-09-19,5205818919.44,5986691757.355999,2602909459.72,2602909459.72,2993345878.6779995,1301454729.86,1379
2016-12-19,5135670190.0,5906020718.5,2567835095.0,2567835095.0,2953010359.25,1283917547.5,1380
2017-03-20,5455776767.599999,6274143282.739999,2727888383.7999997,2727888383.7999997,3137071641.3699994,1363944191.8999999,1381
2017-06-19,5826480498.7990885,6700452573.618951,2913240249.3995442,2913240249.3995442,3350226286.8094754,1456620124.6997721,1379
2017-09-18,5854823556.1643505,6733047089.589003,2927411778.0821753,2927411778.0821753,3366523544.7945013,1463705889.0410876,1400
2017-12-18,6262400347.0,7201760399.049999,3131200173.5,3131200173.5,3600880199.5249996,1565600086.75,1404
2018-03-19,6395556403.17,7354889863.645499,3197778201.585,3197778201.585,3677444931.8227496,1598889100.7925,1397
2018-06-18,6183987144.0,7111585215.599999,3091993572.0,3091993572.0,3555792607.7999997,1545996786.0,1417
2018-09-24,6444974158.58,7411720282.367,3222487079.29,3222487079.29,3705860141.1835,1611243539.645,1397
2018-12-24,6139271971.41,7060162767.121499,3069635985.705,3069635985.705,3530081383.5607495,1534817992.8525,1350
2019-03-18,6386936118.45,7344976536.217499,3193468059.225,3193468059.225,3672488268.1087494,1596734029.6125,1363
2019-06-24,6234754409.976376,7169967571.472832,3117377204.988188,3117377204.988188,3584983785.736416,1558688602.494094,1342
2019-09-23,6513490335.84,7490513886.216,3256745167.92,3256745167.92,3745256943.108,1628372583.96,1319
2019-12-23,6922917495.759999,7961355120.123999,3461458747.8799996,3461458747.8799996,3980677560.0619993,1730729373.9399998,1325
2020-03-23,6352584802.50144,7305472522.876656,3176292401.25072,3176292401.25072,3652736261.438328,1588146200.62536,1387
2020-06-22,6005308963.55,6906105308.0824995,3002654481.775,3002654481.775,3453052654.0412498,1501327240.8875,1387
2020-09-21,6761772443.023431,7776038309.476945,3380886221.5117154,3380886221.5117154,3888019154.7384725,1690443110.7558577,1387
2020-12-21,7558330727.52,8692080336.648,3779165363.76,3779165363.76,4346040168.324,1889582681.88,1387
2021-03-22,8238092492.194026,9473806366.023129,4119046246.097013,4119046246.097013,4736903183.011564,2059523123.0485065,1387
2021-06-21,8797072083.862434,10116632896.4418,4398536041.931217,4398536041.931217,5058316448.2209,2199268020.9656086,1387
2021-09-20,8969880962.79,10315363107.2085,4484940481.395,4484940481.395,5157681553.60425,2242470240.6975,1387
2021-12-20,8490673112.521207,9764274079.399387,4245336556.2606034,4245336556.2606034,4882137039.699694,2122668278.1303017,1387
2022-03-21,8100851398.25,9315979107.9875,4050425699.125,4050425699.125,4657989553.99375,2025212849.5625,1387
2022-06-20,7386846485.85,8494873458.7275,3693423242.925,3693423242.925,4247436729.36375,1846711621.4625,1387
2022-09-19,6878777878.184978,7910594559.912724,3439388939.092489,3439388939.092489,3955297279.956362,1719694469.5462444,1387
2022-12-19,7007573255.0651245,8058709243.324893,3503786627.5325623,3503786627.5325623,4029354621.6624465,1751893313.7662811,1285
2023-03-20,7162431854.148283,8236796632.270525,3581215927.0741415,3581215927.0741415,4118398316.1352625,1790607963.5370708,1387
2023-06-19,7500300522.992889,8625345601.441822,3750150261.4964447,3750150261.4964447,4312672800.720911,1875075130.7482224,1226
2023-09-18,8093219731.12,9307202690.787998,4046609865.56,4046609865.56,4653601345.393999,2023304932.78,1214
