Date;Internal_Number;Instrument_Name;ENTITY_QID;Country;Size;Shadow_Company;ISIN;SEDOL;Instrument_Name_right;Mcap_Units_Index_Currency;Weight;;;;;Date;Index_Symbol;Index_Name;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Exchange;ICB;Free_Float;Shares;Close_unadjusted_local;FX_local_to_Index_Currency;Cutoff;Currency;Close_unadjusted_local_Cutoff;Shares_Cutoff;FX_local_to_Index_Currency_Cutoff;ENTITY_QID;Capfactor;Free_Float_MCAP_USD_Cutoff;Full_MCAP_USD_Cutoff;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;521638;PLKETY000011;5216385;KTY.WA;KETY;PL;Warsaw Stock Exchange;55102035;1;9731952;906.5;0.249651;5/31/2024;PLN;863;9650152;0.25400098;E004YSKU6;1;2115340782;2115340782;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;EW041;PLCFRPT00013;B2QRCM4;CPS.WA;CYFROWY POLSAT;PL;Warsaw Stock Exchange;15102010;0.3796;639546016;12.36;0.249651;5/31/2024;PLN;12.495;639546016;0.25400098;E004YQJZ8;1;770494698.2;2029754210;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL702J;PLXTRDM00011;BZ059D5;XTB.WA;XTB SA;PL;Warsaw Stock Exchange;30202015;0.4907;117569251;71.46;0.249651;5/31/2024;PLN;66.1;117569251;0.25400098;E004YTV1Y;1;968604899.5;1973924800;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;B018DT;PLINTCS00010;B018DT2;CARP.WA;INTER CARS;PL;Warsaw Stock Exchange;40101025;0.6468;14168100;542;0.249651;5/31/2024;PLN;547;14168100;0.25400098;E004YRZLS;1;1273222614;1968495074;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL004E;PLTAURN00011;B5P7L41;TPE.WA;TAURON;PL;Warsaw Stock Exchange;65101015;0.5955;1752549394;3.96;0.249651;5/31/2024;PLN;4.048;1752549394;0.25400098;E004YN5V4;1;1073069693;1801964220;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;597895;PLSOFTB00016;5978953;ACPP.WA;ASSECO POLAND;PL;Warsaw Stock Exchange;10101015;0.6202;83000303;81;0.249651;5/31/2024;PLN;82.65;83000303;0.25400098;E004YQKCC;1;1080661527;1742440385;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;B07XWG;ES0105375002;BGT2VX8;EATP.WA;AMREST HLDG;PL;Warsaw Stock Exchange;40501040;0.3295;219554183;25.25;0.249651;5/31/2024;PLN;25.65;219554183;0.25400098;E004YRJGQ;1;471324371.2;1430422978;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;EW052;PLENEA000013;B3F97B2;ENAE.WA;ENEA;PL;Warsaw Stock Exchange;65101015;0.4771;529731093;9.585;0.249651;5/31/2024;PLN;10.27;529731093;0.25400098;E004YOAIQ;1;659281239.6;1381851267;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;B1G6TS;PLDMDVL00012;B1G6TS9;DOMP.WA;DOM DEVELOPMENT;PL;Warsaw Stock Exchange;35101010;0.3955;25798422;182.2;0.249651;5/31/2024;PLN;185;25798422;0.25400098;E004YPN43;1;479453784.8;1212272528;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL402G;PLENERG00022;BGQYBX7;ENGP.WA;ENERGA;PL;Warsaw Stock Exchange;65101015;0.0908;414067114;10.44;0.249651;5/31/2024;PLN;10.08;414067114;0.25400098;E004YPGK4;1;96261475.13;1060148404;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;EW051;PLTRFRM00018;B045XT0;NEUP.WA;NEUCA;PL;Warsaw Stock Exchange;20103015;0.3705;4467949;928;0.249651;5/31/2024;PLN;912;4460644;0.25400098;E004YNR9Y;1;382838853.7;1033303249;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;EW031;LU0327357389;B28ZQ24;KER.WA;KERNEL HLDG;PL;Warsaw Stock Exchange;45102010;0.0563;293429230;12.3;0.249651;5/31/2024;PLN;11.14;300031230;0.25400098;E004YNC9F;1;47796427.92;848959643.3;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL10DO;PLJSW0000015;B6R2S06;JSW.WA;JSW;PL;Warsaw Stock Exchange;60101040;0.4483;117411596;29.81;0.249651;5/31/2024;PLN;28.46;117411596;0.25400098;E004YORPN;1;380495932.7;848752917;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL90DW;PLATPRT00018;BDC5PF3;APR.WA;AUTO PARTNER;PL;Warsaw Stock Exchange;40101025;0.564;130620000;24.4;0.249651;5/31/2024;PLN;23.85;130620000;0.25400098;E004YU3XX;1;446285276.7;791285951.6;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL11S4;PLVRCM000016;BMD5890;VRCP.WA;VERCOM;PL;Warsaw Stock Exchange;10101015;0.257;22223785;134.5;0.249651;5/31/2024;PLN;135;22223785;0.25400098;E004YUL6S;1;195848527.8;762056528.5;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;B1Z774;PLLCCRP00017;B1Z7745;DVLP.WA;DEVELIA;PL;Warsaw Stock Exchange;35101010;1;452280199;5.68;0.249651;5/31/2024;PLN;6.12;452280199;0.25400098;E004YOC88;1;703063236.9;703063236.9;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL902L;PLATAL000046;BYV7085;1AT.WA;ATAL;PL;Warsaw Stock Exchange;40202010;0.2521;43214610;59.9;0.249651;5/31/2024;PLN;60.9;43214610;0.25400098;E004YQ76Z;1;168521815.4;668472095.9;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL90K3;PLZATRM00012;B3B61Y8;ATTP.WA;GRUPA AZOTY;PL;Warsaw Stock Exchange;55201015;0.4718;99195484;21.32;0.249651;5/31/2024;PLN;22.1;99195484;0.25400098;E004YPO8G;1;262710543.9;556826078.7;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL801J;PLLVTSF00010;BL0RRT5;TXTP.WA;TEXT;PL;Warsaw Stock Exchange;15102015;0.5873;25750000;79.5;0.249651;5/31/2024;PLN;84;25750000;0.25400098;E004YUAY1;1;322665039.8;549404120.2;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL908R;PLPLAYW00015;BYMPHM1;PLWP.WA;PLAYWAY;PL;Warsaw Stock Exchange;40203040;0.1818;6600000;340;0.249651;5/31/2024;PLN;320.5;6600000;0.25400098;E004YU7A2;1;97679008.11;537288273.4;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;446929;PLCOMAR00012;4469298;CMR.WA;COMARCH;PL;Warsaw Stock Exchange;10101010;0.6505;8133349;288.5;0.249651;5/31/2024;PLN;257.5;8133349;0.25400098;E004YNOJX;1;346042415.6;531963744.2;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;444758;PLECHPS00019;B19HLL6;ECH.WA;ECHO INVESTMENT;PL;Warsaw Stock Exchange;35101010;0.34;412690582;4.78;0.249651;5/31/2024;PLN;4.64;412690582;0.25400098;E004YQV40;1;165370046.4;486382489.3;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL101C;PLGPW0000017;B55XKV9;GPW.WA;WARSAW STOCK EXCHANGE;PL;Warsaw Stock Exchange;30202015;0.6499;41972000;48.15;0.249651;5/31/2024;PLN;45.25;41972000;0.25400098;E004YOCB0;1;313516337.7;482407043.6;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;B064B9;PLEURCH00011;B064B91;EUR.WA;EUROCASH;PL;Warsaw Stock Exchange;45201010;0.5596;139163286;13.04;0.249651;5/31/2024;PLN;13.44;139163286;0.25400098;E004YPOHL;1;265850231.1;475071892.5;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL008I;PLR220000018;BFYLNL5;CBF.WA;Cyber Folks;PL;Warsaw Stock Exchange;10101020;0.4819;14180000;125.5;0.249651;5/31/2024;PLN;130;14180000;0.25400098;E004YU48G;1;225637823.6;468225406.9;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL906P;PLPCCRK00076;BNFWQZ8;PCR.WA;PCC ROKITA;PL;Warsaw Stock Exchange;55201020;0.1574;19853300;91.8;0.249651;5/31/2024;PLN;89.4;19853300;0.25400098;E004YOCCP;1;70959466.98;450822534.8;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;EW060;PLARTPR00012;B56C565;ATC.WA;ARCTIC PAPER;PL;Warsaw Stock Exchange;55101015;0.3187;69287783;24.1;0.249651;5/31/2024;PLN;22.9;69287783;0.25400098;E004YOE0D;1;128442752.5;403020873.9;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL407L;PLMURPL00190;BP4BRY6;MURP.WA;MURAPOL;PL;Warsaw Stock Exchange;40202010;0.2696;40800000;37.76;0.249651;5/31/2024;PLN;38.1;40800000;0.25400098;E004YQ2MO;1;106448714;394839443.7;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL90J2;PLRNBWT00031;B27Y7R4;RBW.WA;RAINBOW TOURS SR.B C2 E;PL;Warsaw Stock Exchange;40501015;0.6337;14552000;118;0.249651;5/31/2024;PLN;105.8;14552000;0.25400098;E004YT9QY;1;247814921.9;391060315.5;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL802K;PL11BTS00015;B5KQ0S0;11B.WA;11 BIT STUDIOS;PL;Warsaw Stock Exchange;40203040;0.9303;2417199;648;0.249651;5/31/2024;PLN;631;2417199;0.25400098;E004YTV3P;1;360412776.9;387415647.6;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL11U6;US44853H1086;BLH1TK5;HUGP.WA;HUUUGE;PL;Warsaw Stock Exchange;40203040;0.5023;59984981;23.95;0.249651;5/31/2024;PLN;22.35;67124778;0.25400098;E004YUE5U;1;191407504.3;381062122.8;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL002C;PLAB00000019;B1FHB09;ABEP.WA;AB;PL;Warsaw Stock Exchange;10101010;0.8107;16187644;100.5;0.249651;5/31/2024;PLN;92;16187644;0.25400098;E004YO8SR;1;306666995.1;378274324.8;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;B1B59T;PLFAMUR00012;B1B59T2;GEA1.WA;GRENEVIA;PL;Warsaw Stock Exchange;50204020;0.4941;574680673;2.5;0.249651;5/31/2024;PLN;2.51;574680673;0.25400098;E004YP2UF;1;181030003.4;366383330.2;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL20FR;CY1000031710;B28PT92;ASBP.WA;ASBISC ENTERPRISES (DI);PL;Warsaw Stock Exchange;10102030;0.5812;55500000;24.3;0.249651;5/31/2024;PLN;25.5;55500000;0.25400098;E004YSXVR;1;208926804.5;359474887.2;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;591913;PLBRSZW00011;B07DNZ7;BORY.WA;BORYSZEW;PL;Warsaw Stock Exchange;50203000;0.1928;240000000;5.63;0.249651;5/31/2024;PLN;5.68;240000000;0.25400098;E004YQK1Y;1;66757797.46;346254136.2;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL10NY;PLCNTSL00014;5206278;COGP.WA;COGNOR HOLDING;PL;Warsaw Stock Exchange;55102015;0.2216;171420663;8.45;0.249651;5/31/2024;PLN;7.88;171420663;0.25400098;E004YPOR9;1;76031671.22;343103209.5;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL404I;PLNEWAG00012;BGP67T2;NWGP.WA;NEWAG;PL;Warsaw Stock Exchange;50204030;0.4571;45000001;29.5;0.249651;5/31/2024;PLN;28.7;45000001;0.25400098;E004YT9K6;1;149948123.1;328042273.2;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;EW026;PLBOS0000019;5166758;BOSP.WA;BANK OCHRONY SRODOWISKA;PL;Warsaw Stock Exchange;30101010;0.278;92947671;14.15;0.249651;5/31/2024;PLN;13.8;92947671;0.25400098;E004YMM4X;1;90572798.56;325801433.7;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL804M;PLSELVT00013;B4NYKP1;RVU.WA;RYVU THERAPEUTICS;PL;Warsaw Stock Exchange;20103010;0.6833;23120148;51.2;0.249651;5/31/2024;PLN;54;23120148;0.25400098;E004YTVEO;1;216686164.8;317117173.7;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;425229;PLDEBCA00016;4252294;DBC.WA;FIRMA OPONIARSKA DEBICA;PL;Warsaw Stock Exchange;40101015;0.1275;13802750;93.8;0.249651;5/31/2024;PLN;88;13802750;0.25400098;E004YSKUB;1;39336332.97;308520258.6;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL00KU;PLSNKTK00019;B6WC704;SNTP.WA;SYNEKTIK;PL;Warsaw Stock Exchange;20101025;0.4987;8529129;134;0.249651;5/31/2024;PLN;140;8529129;0.25400098;E004YTXDV;1;151254212.7;303296997.7;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;530717;PLSTLPD00017;5307171;STP.WA;STALPRODUKT;PL;Warsaw Stock Exchange;55102010;0.3483;5399598;213;0.249651;5/31/2024;PLN;218.5;5399598;0.25400098;E004YSKVZ;1;104376261.2;299673445.9;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;716083;PLZAPUL00057;7160833;ZAPP.WA;PULAWY;PL;Warsaw Stock Exchange;55201015;0.0402;19115000;56;0.249651;5/31/2024;PLN;59.2;19115000;0.25400098;E004YSKU9;1;11554667.56;287429541.2;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL90H0;PLENTER00017;BYVXL68;ENTP.WA;ENTER AIR;PL;Warsaw Stock Exchange;40501010;0.4849;17543750;68.5;0.249651;5/31/2024;PLN;63.6;17543750;0.25400098;E004YU6NV;1;137425435.6;283409848.7;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL10FQ;PLMOBRK00013;B3YPG92;MBR.WA;MOBRUK;PL;Warsaw Stock Exchange;50101035;0.8;3512885;313;0.249651;5/31/2024;PLN;316;3512885;0.25400098;E004YPLD8;1;225567431.8;281959289.7;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL00MW;PLUNMOT00013;B8DH713;UNTP.WA;UNIMOT;PL;Warsaw Stock Exchange;65102020;0.2965;8197818;135;0.249651;5/31/2024;PLN;133.6;8197818;0.25400098;E004YU0IV;1;82483070.72;278189108.7;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL005F;PLMRBUD00015;B3KRRD3;MRB.WA;MIRBUD;PL;Warsaw Stock Exchange;50101010;0.5454;91744200;14.3;0.249651;5/31/2024;PLN;11.5;91744200;0.25400098;E004YOFP1;1;146159478.4;267985842.4;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;EW054;PLLWBGD00016;B543NN3;LWBP.WA;BOGDANKA;PL;Warsaw Stock Exchange;60101040;0.3543;34013590;30;0.249651;5/31/2024;PLN;30.68;34013590;0.25400098;E004YTJE7;1;93910547.52;265059405.9;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL00HR;PLOPNPL00013;B245H03;OPN.WA;OPONEO PL SERIES A B;PL;Warsaw Stock Exchange;40101010;0.3134;13936000;80;0.249651;5/31/2024;PLN;71.2;13936000;0.25400098;E004YSLAD;1;78986435.61;252030745.4;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL00NX;PLVOXEL00014;B6RW9D6;VOXP.WA;VOXEL;PL;Warsaw Stock Exchange;20103010;0.6257;10502600;94.2;0.249651;5/31/2024;PLN;93.2;10502600;0.25400098;E004YNNSY;1;155565856.8;248626908.7;;;
