Date;MSCIPriceUSD;Close
10/4/2019;940.35;948.55
10/7/2019;938.26;946.49
10/8/2019;938.13;946.27
10/9/2019;937.18;946.34
10/10/2019;940.06;949.28
10/11/2019;953.45;963.82
10/14/2019;959.11;969.89
10/15/2019;960.61;972.38
10/16/2019;964.82;976.82
10/17/2019;969.13;980.73
10/18/2019;965.88;976.90
10/21/2019;969.89;981.44
10/22/2019;975.20;986.04
10/23/2019;972.49;982.85
10/24/2019;978.37;989.23
10/25/2019;976.66;987.99
10/28/2019;983.22;995.33
10/29/2019;983.81;995.95
10/30/2019;981.72;993.45
10/31/2019;982.46;994.52
11/1/2019;988.91;1001.82
11/4/2019;1002.71;1017.05
11/5/2019;1008.31;1021.73
11/6/2019;1006.08;1019.79
11/7/2019;1010.10;1024.31
11/8/2019;1002.36;1016.83
11/11/2019;991.32;1005.04
11/12/2019;993.96;1007.96
11/13/2019;982.99;996.45
11/14/2019;981.72;995.04
11/15/2019;987.80;1002.03
11/18/2019;990.77;1005.02
11/19/2019;995.02;1008.70
11/20/2019;990.26;1003.38
11/21/2019;983.35;996.04
11/22/2019;986.90;1000.07
11/25/2019;991.62;1005.42
11/26/2019;986.83;1001.59
11/27/2019;991.27;1006.68
11/28/2019;989.06;1004.76
11/29/2019;980.13;995.20
12/2/2019;980.02;995.62
12/3/2019;977.38;992.45
12/4/2019;976.81;991.03
12/5/2019;982.25;997.02
12/6/2019;987.90;1003.05
12/9/2019;989.89;1004.44
12/10/2019;988.26;1002.96
12/11/2019;996.15;1010.85
12/12/2019;1007.64;1023.15
12/13/2019;1022.22;1038.67
12/16/2019;1023.53;1039.94
12/17/2019;1036.51;1053.40
12/18/2019;1042.17;1058.86
12/19/2019;1040.20;1056.59
12/20/2019;1040.89;1057.53
12/23/2019;1044.47;1060.49
12/24/2019;1042.24;1058.11
12/25/2019;1042.45;1058.61
12/26/2019;1045.45;1061.85
12/27/2019;1051.62;1068.09
12/30/2019;1052.07;1068.52
12/31/2019;1049.05;1065.26
1/2/2020;1061.19;1078.17
1/3/2020;1057.02;1074.57
1/6/2020;1045.73;1064.29
1/7/2020;1048.92;1067.56
1/8/2020;1044.17;1063.09
1/9/2020;1061.20;1080.11
1/10/2020;1065.27;1084.57
1/13/2020;1074.93;1095.07
1/14/2020;1075.28;1094.75
1/15/2020;1070.28;1089.10
1/16/2020;1072.92;1091.39
1/17/2020;1078.49;1097.16
1/20/2020;1077.50;1096.11
1/21/2020;1060.59;1078.50
1/22/2020;1066.59;1084.47
1/23/2020;1056.86;1074.36
1/24/2020;1054.46;1071.31
1/27/2020;1039.35;1056.61
1/28/2020;1037.88;1055.12
1/29/2020;1033.99;1051.01
1/30/2020;1010.03;1025.23
1/31/2020;1000.52;1015.61
2/3/2020;998.18;1013.83
2/4/2020;1021.08;1037.68
2/5/2020;1024.91;1041.09
2/6/2020;1036.69;1054.47
2/7/2020;1026.50;1043.51
2/10/2020;1021.77;1038.66
2/11/2020;1033.55;1051.86
2/12/2020;1043.01;1061.95
2/13/2020;1039.72;1058.68
2/14/2020;1040.01;1058.95
2/17/2020;1041.43;1060.64
2/18/2020;1030.12;1048.41
2/19/2020;1037.48;1055.90
2/20/2020;1029.86;1047.61
2/21/2020;1019.66;1035.76
2/24/2020;992.60;1008.89
2/25/2020;993.86;1010.37
2/26/2020;981.15;998.10
2/27/2020;968.55;984.28
2/28/2020;945.13;959.97
3/2/2020;955.69;972.52
3/3/2020;965.96;982.28
3/4/2020;974.71;992.11
3/5/2020;975.69;993.83
3/6/2020;950.60;966.71
3/9/2020;889.99;909.56
3/10/2020;905.53;923.07
3/11/2020;888.51;905.53
3/12/2020;827.41;843.17
3/13/2020;833.41;849.08
3/16/2020;778.94;793.58
3/17/2020;772.08;785.33
3/18/2020;735.23;745.38
3/19/2020;713.16;722.13
