Date;MSCI;SAMCO@20241018
5/5/2020;763.69;768.45
5/6/2020;764.23;771.34
5/7/2020;766.30;772.82
5/8/2020;776.06;784.99
5/11/2020;776.64;786.95
5/12/2020;773.24;783.30
5/13/2020;772.78;782.73
5/14/2020;765.97;775.36
5/15/2020;769.18;779.02
5/18/2020;771.20;783.53
5/19/2020;780.11;793.30
5/20/2020;786.67;797.78
5/21/2020;793.09;801.59
5/22/2020;781.08;783.81
5/26/2020;802.52;806.37
5/27/2020;806.09;808.20
5/28/2020;801.68;802.99
5/29/2020;800.74;805.21
6/1/2020;822.25;826.89
6/2/2020;836.68;841.32
6/3/2020;851.31;856.38
6/4/2020;853.56;857.15
6/5/2020;872.01;872.26
6/8/2020;883.04;880.28
6/9/2020;882.41;883.50
6/10/2020;884.58;885.42
6/11/2020;869.58;869.71
6/12/2020;862.37;862.83
6/15/2020;840.32;842.08
6/16/2020;862.54;865.77
6/17/2020;865.96;870.29
6/18/2020;868.56;874.99
6/19/2020;872.70;879.64
6/22/2020;875.42;881.69
6/23/2020;881.86;886.96
6/24/2020;878.76;884.63
6/25/2020;875.27;881.52
6/26/2020;870.65;876.53
6/29/2020;867.66;872.30
6/30/2020;870.12;875.02
7/1/2020;877.16;880.95
7/2/2020;892.25;899.59
7/6/2020;919.69;931.04
7/7/2020;915.20;925.11
7/8/2020;922.48;933.41
7/9/2020;928.27;940.13
7/10/2020;920.69;931.05
7/13/2020;928.73;937.90
7/14/2020;917.77;926.45
7/15/2020;924.23;931.03
7/16/2020;915.02;918.16
7/17/2020;919.44;920.79
7/20/2020;927.86;933.48
7/21/2020;941.93;946.92
7/22/2020;946.30;947.63
7/23/2020;947.63;947.15
7/24/2020;933.55;931.04
7/27/2020;937.26;934.36
7/28/2020;937.55;936.35
7/29/2020;943.85;945.44
7/30/2020;942.65;944.19
7/31/2020;946.01;945.48
8/3/2020;944.96;945.60
8/4/2020;954.36;954.26
8/5/2020;969.12;969.91
8/6/2020;973.19;974.06
8/7/2020;968.23;967.87
8/10/2020;969.70;969.79
8/11/2020;971.67;971.59
8/12/2020;964.85;967.40
8/13/2020;968.07;969.76
8/14/2020;966.28;968.26
8/17/2020;965.56;970.75
8/18/2020;966.13;970.17
8/19/2020;971.13;973.47
8/20/2020;951.31;953.08
8/21/2020;962.30;963.02
8/24/2020;973.52;973.63
8/25/2020;979.34;982.46
8/26/2020;981.01;983.91
8/27/2020;978.88;981.60
8/28/2020;986.99;988.03
8/31/2020;982.88;982.83
9/1/2020;991.84;993.83
9/2/2020;994.73;995.95
9/3/2020;994.20;992.80
9/4/2020;988.12;986.98
9/8/2020;980.45;978.45
9/9/2020;977.80;978.46
9/10/2020;978.43;978.21
9/11/2020;978.22;978.44
9/14/2020;993.98;992.74
9/15/2020;1002.15;1001.38
9/16/2020;1004.70;1004.10
9/17/2020;1000.40;1000.95
9/18/2020;1005.83;1008.19
9/21/2020;983.56;984.92
9/22/2020;970.55;972.77
9/23/2020;964.22;966.09
9/24/2020;941.71;943.31
9/25/2020;941.82;943.64
9/28/2020;956.42;958.15
9/29/2020;959.90;961.57
9/30/2020;965.56;966.95
10/1/2020;971.02;973.11
10/2/2020;969.52;971.73
10/5/2020;978.55;981.65
10/6/2020;987.78;990.84
10/7/2020;989.06;992.66
10/8/2020;995.80;999.54
10/9/2020;998.17;1001.21
10/12/2020;1001.41;1003.56
10/13/2020;999.47;1000.54
10/14/2020;998.99;1000.36
10/15/2020;989.40;989.51
10/16/2020;988.43;989.32
10/19/2020;991.59;991.08
10/20/2020;997.87;998.89
10/21/2020;1001.17;1003.23
10/22/2020;998.70;1002.09
10/23/2020;999.72;1003.92
